rank,old_article_idx,new_item_idx
1,507,1
2,712,2
3,290,3
4,2019,4
5,73,5
6,632,6
7,2026,7
8,1046,8
9,289,9
10,47,10
11,905,11
12,1368,12
13,509,13
14,779,14
15,1045,15
16,1547,16
17,2864,17
18,775,18
19,1687,19
20,260,20
21,1040,21
22,46,22
23,770,23
24,171,24
25,876,25
26,575,26
27,838,27
28,981,28
29,2856,29
30,1630,30
31,570,31
32,1642,32
33,1139,33
34,980,34
35,1047,35
36,1932,36
37,1433,37
38,2586,38
39,795,39
40,878,40
41,864,41
42,1430,42
43,1371,43
44,1210,44
45,656,45
46,2848,46
47,270,47
48,1296,48
49,674,49
50,65,50
51,877,51
52,1299,52
53,569,53
54,2812,54
55,435,55
56,2663,56
57,1212,57
58,2590,58
59,82,59
60,45,60
61,2560,61
62,304,62
63,721,63
64,1548,64
65,1294,65
66,390,66
67,703,67
68,1478,68
69,267,69
70,541,70
71,508,71
72,934,72
73,409,73
74,2814,74
75,760,75
76,128,76
77,525,77
78,2790,78
79,1939,79
80,647,80
81,999,81
82,2757,82
83,9,83
84,1174,84
85,927,85
86,1674,86
87,50,87
88,2632,88
89,2845,89
90,235,90
91,264,91
92,2720,92
93,1473,93
94,1143,94
95,1924,95
96,1925,96
97,868,97
98,1431,98
99,1126,99
100,1230,100
